taxonomy,term name,term slug,term description,image
pa_color,PK 1123,pk-1123,"Колір PK 1123, HEX #ebb94c",colors/pk-1123.png
pa_color,DK 1122,dk-1122,"Колір DK 1122, HEX #eabd60",colors/dk-1122.png
pa_color,CK 1121,ck-1121,"Колір CK 1121, HEX #edca79",colors/ck-1121.png
pa_color,PK 1120,pk-1120,"Колір PK 1120, HEX #fac74c",colors/pk-1120.png
pa_color,DK 1119,dk-1119,"Колір DK 1119, HEX #fec95a",colors/dk-1119.png
pa_color,CK 1118,ck-1118,"Колір CK 1118, HEX #f2d167",colors/ck-1118.png
pa_color,BK 1117,bk-1117,"Колір BK 1117, HEX #f4d781",colors/bk-1117.png
pa_color,BK 1116,bk-1116,"Колір BK 1116, HEX #f0d895",colors/bk-1116.png
pa_color,DK 1115,dk-1115,"Колір DK 1115, HEX #eacd59",colors/dk-1115.png
pa_color,DK 1114,dk-1114,"Колір DK 1114, HEX #e9d562",colors/dk-1114.png
pa_color,CK 1113,ck-1113,"Колір CK 1113, HEX #e8d159",colors/ck-1113.png
pa_color,BK 1112,bk-1112,"Колір BK 1112, HEX #efd97f",colors/bk-1112.png
pa_color,BK 1111,bk-1111,"Колір BK 1111, HEX #efdc92",colors/bk-1111.png
pa_color,BK 1104,bk-1104,"Колір BK 1104, HEX #f5de94",colors/bk-1104.png
pa_color,AK 1103,ak-1103,"Колір AK 1103, HEX #f1dea6",colors/ak-1103.png
pa_color,AK 1102,ak-1102,"Колір AK 1102, HEX #ecdfb3",colors/ak-1102.png
pa_color,AK 1101,ak-1101,"Колір AK 1101, HEX #ebdec8",colors/ak-1101.png
pa_color,BK 1110,bk-1110,"Колір BK 1110, HEX #f5de8e",colors/bk-1110.png
pa_color,BK 1109,bk-1109,"Колір BK 1109, HEX #f1df98",colors/bk-1109.png
pa_color,BK 1108,bk-1108,"Колір BK 1108, HEX #eedfaa",colors/bk-1108.png
pa_color,BK 1107,bk-1107,"Колір BK 1107, HEX #ecdfb3",colors/bk-1107.png
pa_color,AK 1106,ak-1106,"Колір AK 1106, HEX #ede2be",colors/ak-1106.png
pa_color,BK 1105,bk-1105,"Колір BK 1105, HEX #efda77",colors/bk-1105.png
pa_color,PK 1124,pk-1124,"Колір PK 1124, HEX #e8ae43",colors/pk-1124.png
pa_color,PK 1125,pk-1125,"Колір PK 1125, HEX #e6a838",colors/pk-1125.png
pa_color,CK 1126,ck-1126,"Колір CK 1126, HEX #f3bb89",colors/ck-1126.png
pa_color,DK 1127,dk-1127,"Колір DK 1127, HEX #f2ac72",colors/dk-1127.png
pa_color,PK 1128,pk-1128,"Колір PK 1128, HEX #f59f5f",colors/pk-1128.png
pa_color,PK 1129,pk-1129,"Колір PK 1129, HEX #f19452",colors/pk-1129.png
pa_color,PK 1130,pk-1130,"Колір PK 1130, HEX #ec8e4b",colors/pk-1130.png
pa_color,BK 1131,bk-1131,"Колір BK 1131, HEX #e4b08a",colors/bk-1131.png
pa_color,BK 1132,bk-1132,"Колір BK 1132, HEX #db9a62",colors/bk-1132.png
pa_color,DK 1133,dk-1133,"Колір DK 1133, HEX #d58d58",colors/dk-1133.png
pa_color,DK 1134,dk-1134,"Колір DK 1134, HEX #d28650",colors/dk-1134.png
pa_color,PK 1135,pk-1135,"Колір PK 1135, HEX #cc7d4c",colors/pk-1135.png
pa_color,PK 1136,pk-1136,"Колір PK 1136, HEX #e8757e",colors/pk-1136.png
pa_color,PK 1137,pk-1137,"Колір PK 1137, HEX #e56e77",colors/pk-1137.png
pa_color,PK 1138,pk-1138,"Колір PK 1138, HEX #e25661",colors/pk-1138.png
pa_color,PK 1139,pk-1139,"Колір PK 1139, HEX #d9424b",colors/pk-1139.png
pa_color,PK 1140,pk-1140,"Колір PK 1140, HEX #d23544",colors/pk-1140.png
pa_color,AK 1141,ak-1141,"Колір AK 1141, HEX #c07c6f",colors/ak-1141.png
pa_color,BK 1142,bk-1142,"Колір BK 1142, HEX #be796b",colors/bk-1142.png
pa_color,BK 1143,bk-1143,"Колір BK 1143, HEX #b25f53",colors/bk-1143.png
pa_color,CK 1144,ck-1144,"Колір CK 1144, HEX #a95348",colors/ck-1144.png
pa_color,DK 1145,dk-1145,"Колір DK 1145, HEX #9b4b3e",colors/dk-1145.png
pa_color,AK 1146,ak-1146,"Колір AK 1146, HEX #ecdaba",colors/ak-1146.png
pa_color,AK 1147,ak-1147,"Колір AK 1147, HEX #e9d8b7",colors/ak-1147.png
pa_color,AK 1148,ak-1148,"Колір AK 1148, HEX #e6cea4",colors/ak-1148.png
pa_color,AK 1149,ak-1149,"Колір AK 1149, HEX #e5c893",colors/ak-1149.png
pa_color,BK 1150,bk-1150,"Колір BK 1150, HEX #dfbf88",colors/bk-1150.png
pa_color,AK 1151,ak-1151,"Колір AK 1151, HEX #f0e7d4",colors/ak-1151.png
pa_color,AK 1152,ak-1152,"Колір AK 1152, HEX #ebe1cd",colors/ak-1152.png
pa_color,AK 1153,ak-1153,"Колір AK 1153, HEX #eee1c3",colors/ak-1153.png
pa_color,BK 1154,bk-1154,"Колір BK 1154, HEX #ebd8ac",colors/bk-1154.png
pa_color,BK 1155,bk-1155,"Колір BK 1155, HEX #e7cb92",colors/bk-1155.png
