SKU,Type,Parent SKU,Name,Attribute:Color,Attribute:Color Visible,Attribute:Color Global,Images,Image Alt Text,HEX,Description
kosbud,variable,,Фарба KOSBUD,,,,,,,Базовий товар з варіаціями кольору
pk-1123,variation,kosbud,PK 1123,PK 1123,1,1,colors/pk-1123.png,PK 1123 – #ebb94c swatch,#ebb94c,"Колір PK 1123, HEX #ebb94c"
dk-1122,variation,kosbud,DK 1122,DK 1122,1,1,colors/dk-1122.png,DK 1122 – #eabd60 swatch,#eabd60,"Колір DK 1122, HEX #eabd60"
ck-1121,variation,kosbud,CK 1121,CK 1121,1,1,colors/ck-1121.png,CK 1121 – #edca79 swatch,#edca79,"Колір CK 1121, HEX #edca79"
pk-1120,variation,kosbud,PK 1120,PK 1120,1,1,colors/pk-1120.png,PK 1120 – #fac74c swatch,#fac74c,"Колір PK 1120, HEX #fac74c"
dk-1119,variation,kosbud,DK 1119,DK 1119,1,1,colors/dk-1119.png,DK 1119 – #fec95a swatch,#fec95a,"Колір DK 1119, HEX #fec95a"
ck-1118,variation,kosbud,CK 1118,CK 1118,1,1,colors/ck-1118.png,CK 1118 – #f2d167 swatch,#f2d167,"Колір CK 1118, HEX #f2d167"
bk-1117,variation,kosbud,BK 1117,BK 1117,1,1,colors/bk-1117.png,BK 1117 – #f4d781 swatch,#f4d781,"Колір BK 1117, HEX #f4d781"
bk-1116,variation,kosbud,BK 1116,BK 1116,1,1,colors/bk-1116.png,BK 1116 – #f0d895 swatch,#f0d895,"Колір BK 1116, HEX #f0d895"
dk-1115,variation,kosbud,DK 1115,DK 1115,1,1,colors/dk-1115.png,DK 1115 – #eacd59 swatch,#eacd59,"Колір DK 1115, HEX #eacd59"
dk-1114,variation,kosbud,DK 1114,DK 1114,1,1,colors/dk-1114.png,DK 1114 – #e9d562 swatch,#e9d562,"Колір DK 1114, HEX #e9d562"
ck-1113,variation,kosbud,CK 1113,CK 1113,1,1,colors/ck-1113.png,CK 1113 – #e8d159 swatch,#e8d159,"Колір CK 1113, HEX #e8d159"
bk-1112,variation,kosbud,BK 1112,BK 1112,1,1,colors/bk-1112.png,BK 1112 – #efd97f swatch,#efd97f,"Колір BK 1112, HEX #efd97f"
bk-1111,variation,kosbud,BK 1111,BK 1111,1,1,colors/bk-1111.png,BK 1111 – #efdc92 swatch,#efdc92,"Колір BK 1111, HEX #efdc92"
bk-1104,variation,kosbud,BK 1104,BK 1104,1,1,colors/bk-1104.png,BK 1104 – #f5de94 swatch,#f5de94,"Колір BK 1104, HEX #f5de94"
ak-1103,variation,kosbud,AK 1103,AK 1103,1,1,colors/ak-1103.png,AK 1103 – #f1dea6 swatch,#f1dea6,"Колір AK 1103, HEX #f1dea6"
ak-1102,variation,kosbud,AK 1102,AK 1102,1,1,colors/ak-1102.png,AK 1102 – #ecdfb3 swatch,#ecdfb3,"Колір AK 1102, HEX #ecdfb3"
ak-1101,variation,kosbud,AK 1101,AK 1101,1,1,colors/ak-1101.png,AK 1101 – #ebdec8 swatch,#ebdec8,"Колір AK 1101, HEX #ebdec8"
bk-1110,variation,kosbud,BK 1110,BK 1110,1,1,colors/bk-1110.png,BK 1110 – #f5de8e swatch,#f5de8e,"Колір BK 1110, HEX #f5de8e"
bk-1109,variation,kosbud,BK 1109,BK 1109,1,1,colors/bk-1109.png,BK 1109 – #f1df98 swatch,#f1df98,"Колір BK 1109, HEX #f1df98"
bk-1108,variation,kosbud,BK 1108,BK 1108,1,1,colors/bk-1108.png,BK 1108 – #eedfaa swatch,#eedfaa,"Колір BK 1108, HEX #eedfaa"
bk-1107,variation,kosbud,BK 1107,BK 1107,1,1,colors/bk-1107.png,BK 1107 – #ecdfb3 swatch,#ecdfb3,"Колір BK 1107, HEX #ecdfb3"
ak-1106,variation,kosbud,AK 1106,AK 1106,1,1,colors/ak-1106.png,AK 1106 – #ede2be swatch,#ede2be,"Колір AK 1106, HEX #ede2be"
bk-1105,variation,kosbud,BK 1105,BK 1105,1,1,colors/bk-1105.png,BK 1105 – #efda77 swatch,#efda77,"Колір BK 1105, HEX #efda77"
pk-1124,variation,kosbud,PK 1124,PK 1124,1,1,colors/pk-1124.png,PK 1124 – #e8ae43 swatch,#e8ae43,"Колір PK 1124, HEX #e8ae43"
pk-1125,variation,kosbud,PK 1125,PK 1125,1,1,colors/pk-1125.png,PK 1125 – #e6a838 swatch,#e6a838,"Колір PK 1125, HEX #e6a838"
ck-1126,variation,kosbud,CK 1126,CK 1126,1,1,colors/ck-1126.png,CK 1126 – #f3bb89 swatch,#f3bb89,"Колір CK 1126, HEX #f3bb89"
dk-1127,variation,kosbud,DK 1127,DK 1127,1,1,colors/dk-1127.png,DK 1127 – #f2ac72 swatch,#f2ac72,"Колір DK 1127, HEX #f2ac72"
