post_type,post_title,post_name,sku,post_parent_sku,attribute:pa_color,attribute_data:pa_color,_woodmart_swatch_color,images
product,Acrylit-ST палітра AK,palette-ak,AK-PALETTE,,"AK 1101,AK 1102,AK 1103,AK 1106,AK 1141,AK 1146,AK 1147,AK 1148,AK 1149,AK 1151,AK 1152,AK 1153,AK 1156,AK 1157,AK 1158,AK 1161,AK 1162,AK 1164,AK 1165,AK 1166,AK 1171,AK 1172,AK 1173,AK 1174,AK 1176,AK 1177,AK 1181,AK 1182,AK 1183,AK 1184,AK 1186,AK 1187,AK 1188,AK 1189,AK 1190,AK 1196,AK 1201,AK 1202,AK 1206,AK 1207,AK 1208,AK 1209,AK 1213,AK 1214,AK 1216,AK 1217,AK 1218,AK 1219,AK 1220,AK 1222,AK 1223,AK 1224,AK 1226,AK 1227,AK 1228,AK 1229,AK 1230,AK 1237,AK 1238,AK 1239,AK 1240,AK 1242,AK 1243,AK 1246,AK 1247,AK 1248,AK 1249,AK 1250,AK 1251,AK 1252,AK 1253,AK 1254,AK 1255,AK 1256,AK 1257,AK 1258,AK 1259,AK 1261,AK 1262,AK 1263,AK 1264,AK 1265,AK 1266,AK 1267,AK 1268,AK 1269,AK 1270,AK 1271,AK 1272,AK 1273,AK 1274,AK 1281,AK 1282,AK 1283,AK 1284,AK 1285,AK 1286,AK 1287,AK 1288,AK 1289,AK 1290,AK 1291,AK 1292,AK 1293,AK 1294,AK 1295,AK 1296,AK 1297,AK 1298,AK 1299,AK 1300,AK 1301,AK 1302,AK 1303,AK 1304,AK 1305,AK 1306,AK 1311,AK 1312,AK 1313,AK 1314,AK 1316,AK 1317,AK 1318,AK 1319,AK 1320,AK 1321,AK 1322,AK 1323,AK 1324,AK 1325",1,,
product_variation,AK 1101,ak-1101,AK-1101,AK-PALETTE,AK 1101,1,#ebdec8,https://kosbud.ua/uploads/colors/ak-1101.jpg
product_variation,AK 1102,ak-1102,AK-1102,AK-PALETTE,AK 1102,1,#ecdfb3,https://kosbud.ua/uploads/colors/ak-1102.jpg
product_variation,AK 1103,ak-1103,AK-1103,AK-PALETTE,AK 1103,1,#f1dea6,https://kosbud.ua/uploads/colors/ak-1103.jpg
product_variation,AK 1106,ak-1106,AK-1106,AK-PALETTE,AK 1106,1,#ede2be,https://kosbud.ua/uploads/colors/ak-1106.jpg
product_variation,AK 1141,ak-1141,AK-1141,AK-PALETTE,AK 1141,1,#c07c6f,https://kosbud.ua/uploads/colors/ak-1141.jpg
product_variation,AK 1146,ak-1146,AK-1146,AK-PALETTE,AK 1146,1,#ecdaba,https://kosbud.ua/uploads/colors/ak-1146.jpg
product_variation,AK 1147,ak-1147,AK-1147,AK-PALETTE,AK 1147,1,#e9d8b7,https://kosbud.ua/uploads/colors/ak-1147.jpg
product_variation,AK 1148,ak-1148,AK-1148,AK-PALETTE,AK 1148,1,#e6cea4,https://kosbud.ua/uploads/colors/ak-1148.jpg
product_variation,AK 1149,ak-1149,AK-1149,AK-PALETTE,AK 1149,1,#e5c893,https://kosbud.ua/uploads/colors/ak-1149.jpg
product_variation,AK 1151,ak-1151,AK-1151,AK-PALETTE,AK 1151,1,#f0e7d4,https://kosbud.ua/uploads/colors/ak-1151.jpg
product_variation,AK 1152,ak-1152,AK-1152,AK-PALETTE,AK 1152,1,#ebe1cd,https://kosbud.ua/uploads/colors/ak-1152.jpg
product_variation,AK 1153,ak-1153,AK-1153,AK-PALETTE,AK 1153,1,#eee1c3,https://kosbud.ua/uploads/colors/ak-1153.jpg
product_variation,AK 1156,ak-1156,AK-1156,AK-PALETTE,AK 1156,1,#e4d5b7,https://kosbud.ua/uploads/colors/ak-1156.jpg
