Name,Type,SKU,Parent SKU,Attribute:pa_color,Attribute:pa_series,Images,_woodmart_swatch_color
STONEHENGE палітра EX,variable,ST-SH1...SH10,,,,
STONEHENGE SH-01,variation,ST-SH01,ST-SH1...SH10,SH-01,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-01.png,#000000
STONEHENGE SH-02,variation,ST-SH02,ST-SH1...SH10,SH-02,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-02.png,#000000
STONEHENGE SH-03,variation,ST-SH03,ST-SH1...SH10,SH-03,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-03.png,#000000
STONEHENGE SH-04,variation,ST-SH04,ST-SH1...SH10,SH-04,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-04.png,#000000
STONEHENGE SH-05,variation,ST-SH05,ST-SH1...SH10,SH-05,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-05.png,#000000
STONEHENGE SH-06,variation,ST-SH06,ST-SH1...SH10,SH-06,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-06.png,#000000
STONEHENGE SH-07,variation,ST-SH07,ST-SH1...SH10,SH-07,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-07.png,#000000
STONEHENGE SH-08,variation,ST-SH08,ST-SH1...SH10,SH-08,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-08.png,#000000
STONEHENGE SH-09,variation,ST-SH09,ST-SH1...SH10,SH-09,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-09.png,#000000
STONEHENGE SH-10,variation,ST-SH10,ST-SH1...SH10,SH-10,Other,https://kosbud.ua/wp-content/uploads/2022/01/sh-10.png,#000000
