Name,Type,SKU,Parent SKU,Attribute:pa_color,Images,_woodmart_swatch_color
Фарба KOSBUD,variable,kosbud,,,,
PK 1123,variation,pk-1123,kosbud,PK 1123,colors/pk-1123.png,#ebb94c
DK 1122,variation,dk-1122,kosbud,DK 1122,colors/dk-1122.png,#eabd60
CK 1121,variation,ck-1121,kosbud,CK 1121,colors/ck-1121.png,#edca79
PK 1120,variation,pk-1120,kosbud,PK 1120,colors/pk-1120.png,#fac74c
DK 1119,variation,dk-1119,kosbud,DK 1119,colors/dk-1119.png,#fec95a
CK 1118,variation,ck-1118,kosbud,CK 1118,colors/ck-1118.png,#f2d167
BK 1117,variation,bk-1117,kosbud,BK 1117,colors/bk-1117.png,#f4d781
BK 1116,variation,bk-1116,kosbud,BK 1116,colors/bk-1116.png,#f0d895
DK 1115,variation,dk-1115,kosbud,DK 1115,colors/dk-1115.png,#eacd59
DK 1114,variation,dk-1114,kosbud,DK 1114,colors/dk-1114.png,#e9d562
CK 1113,variation,ck-1113,kosbud,CK 1113,colors/ck-1113.png,#e8d159
BK 1112,variation,bk-1112,kosbud,BK 1112,colors/bk-1112.png,#efd97f
BK 1111,variation,bk-1111,kosbud,BK 1111,colors/bk-1111.png,#efdc92
BK 1104,variation,bk-1104,kosbud,BK 1104,colors/bk-1104.png,#f5de94
AK 1103,variation,ak-1103,kosbud,AK 1103,colors/ak-1103.png,#f1dea6
AK 1102,variation,ak-1102,kosbud,AK 1102,colors/ak-1102.png,#ecdfb3
AK 1101,variation,ak-1101,kosbud,AK 1101,colors/ak-1101.png,#ebdec8
BK 1110,variation,bk-1110,kosbud,BK 1110,colors/bk-1110.png,#f5de8e
BK 1109,variation,bk-1109,kosbud,BK 1109,colors/bk-1109.png,#f1df98
BK 1108,variation,bk-1108,kosbud,BK 1108,colors/bk-1108.png,#eedfaa
BK 1107,variation,bk-1107,kosbud,BK 1107,colors/bk-1107.png,#ecdfb3
AK 1106,variation,ak-1106,kosbud,AK 1106,colors/ak-1106.png,#ede2be
BK 1105,variation,bk-1105,kosbud,BK 1105,colors/bk-1105.png,#efda77
PK 1124,variation,pk-1124,kosbud,PK 1124,colors/pk-1124.png,#e8ae43
PK 1125,variation,pk-1125,kosbud,PK 1125,colors/pk-1125.png,#e6a838
CK 1126,variation,ck-1126,kosbud,CK 1126,colors/ck-1126.png,#f3bb89
DK 1127,variation,dk-1127,kosbud,DK 1127,colors/dk-1127.png,#f2ac72
PK 1128,variation,pk-1128,kosbud,PK 1128,colors/pk-1128.png,#f59f5f
PK 1129,variation,pk-1129,kosbud,PK 1129,colors/pk-1129.png,#f19452
PK 1130,variation,pk-1130,kosbud,PK 1130,colors/pk-1130.png,#ec8e4b
BK 1131,variation,bk-1131,kosbud,BK 1131,colors/bk-1131.png,#e4b08a
BK 1132,variation,bk-1132,kosbud,BK 1132,colors/bk-1132.png,#db9a62
DK 1133,variation,dk-1133,kosbud,DK 1133,colors/dk-1133.png,#d58d58
DK 1134,variation,dk-1134,kosbud,DK 1134,colors/dk-1134.png,#d28650
PK 1135,variation,pk-1135,kosbud,PK 1135,colors/pk-1135.png,#cc7d4c
PK 1136,variation,pk-1136,kosbud,PK 1136,colors/pk-1136.png,#e8757e
PK 1137,variation,pk-1137,kosbud,PK 1137,colors/pk-1137.png,#e56e77
PK 1138,variation,pk-1138,kosbud,PK 1138,colors/pk-1138.png,#e25661
PK 1139,variation,pk-1139,kosbud,PK 1139,colors/pk-1139.png,#d9424b
PK 1140,variation,pk-1140,kosbud,PK 1140,colors/pk-1140.png,#d23544
AK 1141,variation,ak-1141,kosbud,AK 1141,colors/ak-1141.png,#c07c6f
BK 1142,variation,bk-1142,kosbud,BK 1142,colors/bk-1142.png,#be796b
BK 1143,variation,bk-1143,kosbud,BK 1143,colors/bk-1143.png,#b25f53
CK 1144,variation,ck-1144,kosbud,CK 1144,colors/ck-1144.png,#a95348
DK 1145,variation,dk-1145,kosbud,DK 1145,colors/dk-1145.png,#9b4b3e
AK 1146,variation,ak-1146,kosbud,AK 1146,colors/ak-1146.png,#ecdaba
AK 1147,variation,ak-1147,kosbud,AK 1147,colors/ak-1147.png,#e9d8b7
AK 1148,variation,ak-1148,kosbud,AK 1148,colors/ak-1148.png,#e6cea4
AK 1149,variation,ak-1149,kosbud,AK 1149,colors/ak-1149.png,#e5c893
BK 1150,variation,bk-1150,kosbud,BK 1150,colors/bk-1150.png,#dfbf88
AK 1151,variation,ak-1151,kosbud,AK 1151,colors/ak-1151.png,#f0e7d4
AK 1152,variation,ak-1152,kosbud,AK 1152,colors/ak-1152.png,#ebe1cd
AK 1153,variation,ak-1153,kosbud,AK 1153,colors/ak-1153.png,#eee1c3
BK 1154,variation,bk-1154,kosbud,BK 1154,colors/bk-1154.png,#ebd8ac
BK 1155,variation,bk-1155,kosbud,BK 1155,colors/bk-1155.png,#e7cb92
AK 1156,variation,ak-1156,kosbud,AK 1156,colors/ak-1156.png,#e4d5b7
AK 1157,variation,ak-1157,kosbud,AK 1157,colors/ak-1157.png,#e6d5b1
AK 1158,variation,ak-1158,kosbud,AK 1158,colors/ak-1158.png,#eed7a6
BK 1160,variation,bk-1160,kosbud,BK 1160,colors/bk-1160.png,#f0cc8d
AK 1161,variation,ak-1161,kosbud,AK 1161,colors/ak-1161.png,#eee4d0
AK 1162,variation,ak-1162,kosbud,AK 1162,colors/ak-1162.png,#e9dec6
AK 1164,variation,ak-1164,kosbud,AK 1164,colors/ak-1164.png,#eed3a8
AK 1165,variation,ak-1165,kosbud,AK 1165,colors/ak-1165.png,#eecc99
AK 1166,variation,ak-1166,kosbud,AK 1166,colors/ak-1166.png,#efddbd
BK 1167,variation,bk-1167,kosbud,BK 1167,colors/bk-1167.png,#efd6b0
BK 1168,variation,bk-1168,kosbud,BK 1168,colors/bk-1168.png,#efcb9d
BK 1169,variation,bk-1169,kosbud,BK 1169,colors/bk-1169.png,#eec592
CK 1170,variation,ck-1170,kosbud,CK 1170,colors/ck-1170.png,#eabb82
AK 1171,variation,ak-1171,kosbud,AK 1171,colors/ak-1171.png,#efe0cd
AK 1172,variation,ak-1172,kosbud,AK 1172,colors/ak-1172.png,#f0dcc8
AK 1173,variation,ak-1173,kosbud,AK 1173,colors/ak-1173.png,#f2d8be
