post_title,post_name,post_type,post_parent,attribute:pa_color,attribute_data:pa_color,attribute:pa_series,attribute_data:pa_series,_woodmart_swatch_color,images
Mozalit палітра EX,mozalit-palitra-ex,product,,"EX284,EX285,EX286,EX287,EX288,EX290,EX291,EX292,EX293,EX294,EX295,EX296,EX297,EX298,EX299,EX300,EX301,EX302,EX303",1,EX,1,,
EX284,ex284,product_variation,{{ID}},EX284,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-284-e1638357504224.jpg
EX285,ex285,product_variation,{{ID}},EX285,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-285-e1638357600625.jpg
EX286,ex286,product_variation,{{ID}},EX286,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-286-e1638357661659.jpg
EX287,ex287,product_variation,{{ID}},EX287,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-287-e1638358570647.jpg
EX288,ex288,product_variation,{{ID}},EX288,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-288-e1638358670457.jpg
EX290,ex290,product_variation,{{ID}},EX290,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-290-e1638358787833.jpg
EX291,ex291,product_variation,{{ID}},EX291,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-291-e1638358839998.jpg
EX292,ex292,product_variation,{{ID}},EX292,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-292-e1638358901294.jpg
EX293,ex293,product_variation,{{ID}},EX293,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-293-e1638359913815.jpg
EX294,ex294,product_variation,{{ID}},EX294,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-294-e1638359981660.jpg
EX295,ex295,product_variation,{{ID}},EX295,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-295-e1638360032778.jpg
EX296,ex296,product_variation,{{ID}},EX296,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-296-e1638360091857.jpg
EX297,ex297,product_variation,{{ID}},EX297,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-297-e1638360148913.jpg
EX298,ex298,product_variation,{{ID}},EX298,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-298-e1638360199608.jpg
EX299,ex299,product_variation,{{ID}},EX299,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-299-e1638360255735.jpg
EX300,ex300,product_variation,{{ID}},EX300,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-300-e1638360312938.jpg
EX301,ex301,product_variation,{{ID}},EX301,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-301-e1638360372309.jpg
EX302,ex302,product_variation,{{ID}},EX302,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-302-e1638360417404.jpg
EX303,ex303,product_variation,{{ID}},EX303,1,EX,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ex-303-e1638360467990.jpg
Mozalit палітра NTM,mozalit-palitra-ntm,product,,"NTM200,NTM201,NTM202,NTM203,NTM204,NTM205,NTM206,NTM207,NTM208,NTM209,NTM210,NTM211,NTM212,NTM214,NTM215,NTM216,NTM217,NTM218,NTM219,NTM220,NTM221,NTM222,NTM223,NTM224,NTM225,NTM226,NTM227",1,NTM,1,,
NTM200,ntm200,product_variation,{{ID}},NTM200,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm200.png
NTM201,ntm201,product_variation,{{ID}},NTM201,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm201.png
NTM202,ntm202,product_variation,{{ID}},NTM202,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm202.png
NTM203,ntm203,product_variation,{{ID}},NTM203,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm203.png
NTM204,ntm204,product_variation,{{ID}},NTM204,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm204.png
NTM205,ntm205,product_variation,{{ID}},NTM205,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm205.png
NTM206,ntm206,product_variation,{{ID}},NTM206,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm206.png
NTM207,ntm207,product_variation,{{ID}},NTM207,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm207.png
NTM208,ntm208,product_variation,{{ID}},NTM208,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm208.png
NTM209,ntm209,product_variation,{{ID}},NTM209,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm209.png
NTM210,ntm210,product_variation,{{ID}},NTM210,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm210.png
NTM211,ntm211,product_variation,{{ID}},NTM211,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm211.png
NTM212,ntm212,product_variation,{{ID}},NTM212,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm212.png
NTM214,ntm214,product_variation,{{ID}},NTM214,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm214.png
NTM215,ntm215,product_variation,{{ID}},NTM215,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm215.png
NTM216,ntm216,product_variation,{{ID}},NTM216,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm216.png
